euclidean_accuracy,euclidean_average,State_Register_accuracy,State_Register_average
0.375,0.5459375,0.19148936170212766,0.43808510638297876
0.75,,0.723404255319149,
0.75,,0.7021276595744681,
0.390625,,0.1702127659574468,
0.71875,,0.7659574468085106,
0.328125,,0.0851063829787234,
0.46875,,0.425531914893617,
0.265625,,0.1276595744680851,
0.40625,,0.19148936170212766,
0.609375,,0.48936170212765956,
0.4375,,0.23404255319148937,
0.6875,,0.723404255319149,
0.703125,,0.7446808510638298,
0.546875,,0.5319148936170213,
0.53125,,0.46808510638297873,
0.5,,0.46808510638297873,
0.609375,,0.5106382978723404,
0.640625,,0.6595744680851063,
0.734375,,0.7659574468085106,
0.5,,0.3404255319148936,
0.515625,,0.3404255319148936,
0.5625,,0.5531914893617021,
0.515625,,0.40425531914893614,
0.3125,,0.06382978723404255,
0.59375,,0.5957446808510638,
0.546875,,0.44680851063829785,
0.453125,,0.2553191489361702,
0.453125,,0.2553191489361702,
0.671875,,0.574468085106383,
0.375,,0.2765957446808511,
0.703125,,0.5957446808510638,
0.71875,,0.7659574468085106,
0.515625,,0.3404255319148936,
0.5625,,0.40425531914893614,
0.578125,,0.5319148936170213,
0.46875,,0.2765957446808511,
0.53125,,0.48936170212765956,
0.625,,0.574468085106383,
0.34375,,0.10638297872340426,
0.40625,,0.19148936170212766,
0.53125,,0.3617021276595745,
0.671875,,0.7021276595744681,
0.578125,,0.48936170212765956,
0.546875,,0.5319148936170213,
0.53125,,0.3617021276595745,
0.3125,,0.0851063829787234,
0.671875,,0.5531914893617021,
0.640625,,0.5106382978723404,
0.578125,,0.574468085106383,
0.359375,,0.1276595744680851,
0.453125,,0.2765957446808511,
0.59375,,0.5106382978723404,
0.484375,,0.2978723404255319,
0.5625,,0.40425531914893614,
0.6875,,0.723404255319149,
0.59375,,0.44680851063829785,
0.65625,,0.6808510638297872,
0.671875,,0.574468085106383,
0.59375,,0.5957446808510638,
0.65625,,0.6170212765957447,
0.703125,,0.723404255319149,
0.46875,,0.2978723404255319,
0.671875,,0.574468085106383,
0.703125,,0.723404255319149,
0.390625,,0.3191489361702128,
0.65625,,0.6808510638297872,
0.328125,,0.10638297872340426,
0.625,,0.48936170212765956,
0.734375,,0.7872340425531915,
0.40625,,0.19148936170212766,
0.5625,,0.5319148936170213,
0.484375,,0.2978723404255319,
0.5,,0.3191489361702128,
0.671875,,0.7021276595744681,
0.609375,,0.5106382978723404,
0.515625,,0.3617021276595745,
0.40625,,0.19148936170212766,
0.546875,,0.44680851063829785,
0.484375,,0.2978723404255319,
0.703125,,0.7446808510638298,
0.40625,,0.19148936170212766,
0.765625,,0.7021276595744681,
0.59375,,0.44680851063829785,
0.59375,,0.44680851063829785,
0.359375,,0.1276595744680851,
0.546875,,0.425531914893617,
0.3125,,0.06382978723404255,
0.328125,,0.0851063829787234,
0.6875,,0.6170212765957447,
0.625,,0.5106382978723404,
0.609375,,0.46808510638297873,
0.34375,,0.10638297872340426,
0.734375,,0.6382978723404256,
0.671875,,0.5531914893617021,
0.375,,0.19148936170212766,
0.4375,,0.2553191489361702,
0.578125,,0.44680851063829785,
0.53125,,0.46808510638297873,
0.515625,,0.3404255319148936,
0.625,,0.6382978723404256,
