,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
completogpio.csv,0.8624313725490198,0.9983636363636365
FSM.csv,0.7125333333333332,0.5585714285714285
b06_reset.csv,0.9970000000000001,0.992
b01_reset.csv,0.9808,0.968
b02_reset.csv,0.9355,0.9139999999999999
b04_reset.csv,0.9825454545454544,0.533
b08_reset.csv,0.8369523809523809,0.32120000000000004
b09_reset.csv,0.6491428571428572,0.9729999999999999
MEMORY_INTERFACE.csv,0.9566933333333335,0.5360000000000001
spi_axi_master.csv,0.9649693693693694,0.7077142857142855
b10_reset.csv,0.7629411764705882,0.9315
b14_reset.csv,0.607265306122449,0.278
uart.csv,0.55346875,0.4524680851063829
