,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b01_reset.csv,0.6188,0.378
b02_reset.csv,0.54,0.400666666666667
b04_reset.csv,0.915848484848485,0.433
b06_reset.csv,0.76375,0.431333333333333
b08_reset.csv,0.813333333333333,0.2748
b09_reset.csv,0.844285714285715,0.433
b10_reset.csv,0.765176470588235,0.393
b14_reset.csv,0.820865306122449,0.484
completogpio.csv,0.833725490196078,0.364363636363636
FSM.csv,0.625066666666666,0.347142857142857
MEMORY_INTERFACE.csv,0.928106666666667,0.236857142857143
spi_axi_master.csv,0.956803603603604,0.321714285714286
uart.csv,0.33440625,0.107574468085106
,0.750782152793172,0.354265568474079
