round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.16270929404643472,0.9542042,1.3675169795751572,0.265625,relu,12,0.5,10,20,5,50,sigmoid,binary_crossentropy,adam
10,0.13300561156702806,0.9542042,1.6408049240708351,0.265625,relu,12,0.5,10,20,5,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.13823856063489173,0.9602102,1.6959860250353813,0.265625,relu,12,0.5,15,10,1,10,sigmoid,binary_crossentropy,adam
15,0.17171658953937055,0.9564565,1.5846523642539978,0.265625,relu,12,0.5,15,10,1,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.12341417409563521,0.957958,1.685333512723446,0.265625,relu,12,0.5,15,10,1,50,sigmoid,binary_crossentropy,adam
15,0.1106205685184807,0.9587087,1.478088740259409,0.265625,relu,12,0.5,15,10,1,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.2218492593582686,0.954955,2.163090217858553,0.265625,relu,12,0.5,15,10,5,10,sigmoid,binary_crossentropy,adam
15,0.2106522179066061,0.9542042,1.9498438388109207,0.265625,relu,12,0.5,15,10,5,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.13747226550067598,0.9542042,1.3937450908124447,0.265625,relu,12,0.5,15,10,5,50,sigmoid,binary_crossentropy,adam
15,0.1591531142072232,0.9542042,1.5507134459912777,0.265625,relu,12,0.5,15,10,5,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.1188992648469368,0.9557057,1.4749581702053547,0.265625,relu,12,0.5,15,20,1,10,sigmoid,binary_crossentropy,adam
15,0.14541134148466964,0.9572072,1.6439544633030891,0.265625,relu,12,0.5,15,20,1,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.09316018852510129,0.9677177,1.3925597332417965,0.265625,relu,12,0.5,15,20,1,50,sigmoid,binary_crossentropy,adam
15,0.09880531485809164,0.9647147,1.5993290394544601,0.296875,relu,12,0.5,15,20,1,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.21711599840237214,0.9542042,2.1642141975462437,0.265625,relu,12,0.5,15,20,5,10,sigmoid,binary_crossentropy,adam
15,0.20629942865186446,0.9542042,2.170823350548744,0.265625,relu,12,0.5,15,20,5,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.13638302744450131,0.9542042,1.1846994683146477,0.265625,relu,12,0.5,15,20,5,50,sigmoid,binary_crossentropy,adam
15,0.14714234496827597,0.9542042,1.2905456461012363,0.265625,relu,12,0.5,15,20,5,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.33504279132361886,0.9542042,1.0054889917373657,0.265625,relu,128,0.0,10,10,1,10,sigmoid,binary_crossentropy,adam
10,0.25234320616578915,0.9617117,0.861301064491272,0.3125,relu,128,0.0,10,10,1,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.19833958005761956,0.9617117,1.3055567741394043,0.265625,relu,128,0.0,10,10,1,50,sigmoid,binary_crossentropy,adam
10,0.24805946518351008,0.9542042,1.3483569622039795,0.265625,relu,128,0.0,10,10,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.43144879147813125,0.9624625,0.972923994064331,0.265625,relu,128,0.0,10,10,5,10,sigmoid,binary_crossentropy,adam
10,0.1166528701088629,0.9542042,1.5366151332855225,0.265625,relu,128,0.0,10,10,5,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.07875371229899181,0.9707207,1.2879345417022705,0.46875,relu,128,0.0,10,10,5,50,sigmoid,binary_crossentropy,adam
10,0.09363369146982829,0.9677177,1.3065356016159058,0.3125,relu,128,0.0,10,10,5,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.2372704497776232,0.9632132,0.9161763787269592,0.265625,relu,128,0.0,10,20,1,10,sigmoid,binary_crossentropy,adam
10,0.23159742740181474,0.9647147,0.7979165315628052,0.28125,relu,128,0.0,10,20,1,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.1414291337132454,0.9662162,1.0571362972259521,0.265625,relu,128,0.0,10,20,1,50,sigmoid,binary_crossentropy,adam
10,0.12294687943773584,0.9542042,1.2875431776046753,0.265625,relu,128,0.0,10,20,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.12302541242794948,0.9542042,1.4653732776641846,0.265625,relu,128,0.0,10,20,5,10,sigmoid,binary_crossentropy,adam
10,0.44085195445799613,0.9542042,1.0145187377929688,0.265625,relu,128,0.0,10,20,5,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.06601043691573379,0.972973,1.3998908996582031,0.5,relu,128,0.0,10,20,5,50,sigmoid,binary_crossentropy,adam
10,0.08197551219536736,0.96997,1.1981779336929321,0.328125,relu,128,0.0,10,20,5,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.2131600592945431,0.9624625,0.9603788256645203,0.296875,relu,128,0.0,15,10,1,10,sigmoid,binary_crossentropy,adam
15,0.21392482868185989,0.9647147,1.117138385772705,0.265625,relu,128,0.0,15,10,1,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.11198251352116868,0.9677177,0.8692029118537903,0.328125,relu,128,0.0,15,10,1,50,sigmoid,binary_crossentropy,adam
15,0.12564001700004657,0.9542042,1.6164451837539673,0.265625,relu,128,0.0,15,10,1,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.098919028902913,0.9542042,1.6802468299865723,0.265625,relu,128,0.0,15,10,5,10,sigmoid,binary_crossentropy,adam
15,0.22922641772765656,0.9542042,1.227716326713562,0.265625,relu,128,0.0,15,10,5,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.07283556743248089,0.9737237,1.2370014190673828,0.59375,relu,128,0.0,15,10,5,50,sigmoid,binary_crossentropy,adam
15,0.07261052468159536,0.9722222,1.5802326202392578,0.515625,relu,128,0.0,15,10,5,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.11489334091678396,0.9692192,1.1583521366119385,0.359375,relu,128,0.0,15,20,1,10,sigmoid,binary_crossentropy,adam
15,0.11774641807909843,0.9542042,1.0664138793945312,0.265625,relu,128,0.0,15,20,1,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.10063725951555613,0.966967,1.3026831150054932,0.28125,relu,128,0.0,15,20,1,50,sigmoid,binary_crossentropy,adam
15,0.10804133759895423,0.954955,1.197060227394104,0.265625,relu,128,0.0,15,20,1,50,sigmoid,sparse_categorical_crossentropy,adam
15,0.08841312837761801,0.9602102,1.1963763236999512,0.265625,relu,128,0.0,15,20,5,10,sigmoid,binary_crossentropy,adam
15,0.10143241838918433,0.9542042,1.3879538774490356,0.265625,relu,128,0.0,15,20,5,10,sigmoid,sparse_categorical_crossentropy,adam
15,0.061855685827252385,0.9744745,1.759305715560913,0.65625,relu,128,0.0,15,20,5,50,sigmoid,binary_crossentropy,adam
15,0.06571483605348312,0.96997,1.318608045578003,0.796875,relu,128,0.0,15,20,5,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.41539597922975235,0.9054054,1.1992684602737427,0.265625,relu,128,0.5,10,10,1,10,sigmoid,binary_crossentropy,adam
10,0.3854389722282822,0.9542042,0.8720247745513916,0.265625,relu,128,0.5,10,10,1,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.30665589417065225,0.9534535,1.3243927955627441,0.265625,relu,128,0.5,10,10,1,50,sigmoid,binary_crossentropy,adam
10,0.24398987482975912,0.9542042,1.0316309928894043,0.265625,relu,128,0.5,10,10,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.3811894895078184,0.9361862,1.0837135314941406,0.265625,relu,128,0.5,10,10,5,10,sigmoid,binary_crossentropy,adam
10,0.5053077393823916,0.9451952,0.8723424077033997,0.265625,relu,128,0.5,10,10,5,10,sigmoid,sparse_categorical_crossentropy,adam
10,0.2712759311582233,0.9542042,1.5938642024993896,0.265625,relu,128,0.5,10,10,5,50,sigmoid,binary_crossentropy,adam
10,0.25143120135809927,0.9542042,1.5448143482208252,0.265625,relu,128,0.5,10,10,5,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.5695249125048205,0.9001502,0.8133424520492554,0.265625,relu,128,0.5,10,20,1,10,sigmoid,binary_crossentropy,adam
10,0.37163768614734616,0.9474474,0.9813358783721924,0.265625,relu,128,0.5,10,20,1,10,sigmoid,sparse_categorical_crossentropy,adam
