round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,2.7445091977715492,0.46875,0.06543363292885342,0.9714715,relu,12,0.0,10,10,8,20,sigmoid,binary_crossentropy,RMSprop
10,1.657461028546095,0.703125,0.06604765758609508,0.9714715,relu,12,0.0,10,10,8,20,sigmoid,sparse_categorical_crossentropy,adam
10,1.0434949062764645,0.796875,0.07614654391363729,0.9714715,relu,12,0.0,10,10,8,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.0468749031424522,0.71875,0.06761911546791534,0.9707207,relu,12,0.0,10,10,8,30,sigmoid,binary_crossentropy,adam
10,1.3336265701800585,0.734375,0.07227684253709274,0.9744745,relu,12,0.0,10,10,8,30,sigmoid,binary_crossentropy,RMSprop
10,1.538978960365057,0.703125,0.05413496222500144,0.9797297,relu,12,0.0,10,10,8,30,sigmoid,sparse_categorical_crossentropy,adam
10,2.2000885475426912,0.78125,0.06542291573503069,0.9722222,relu,12,0.0,10,10,8,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.3224967271089554,0.75,0.0681344688414315,0.9722222,relu,12,0.0,10,10,8,40,sigmoid,binary_crossentropy,adam
10,1.2738688252866268,0.796875,0.07015932851758047,0.9714715,relu,12,0.0,10,10,8,40,sigmoid,binary_crossentropy,RMSprop
10,2.1827394738793373,0.796875,0.06886894456414387,0.9767267,relu,12,0.0,10,10,8,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.5650246553122997,0.796875,0.07380631868055626,0.966967,relu,12,0.0,10,10,8,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.9710248187184334,0.671875,0.06116235806650759,0.9737237,relu,12,0.0,10,10,8,50,sigmoid,binary_crossentropy,adam
10,2.071036696434021,0.703125,0.06693008574179944,0.975976,relu,12,0.0,10,10,8,50,sigmoid,binary_crossentropy,RMSprop
10,1.317899663001299,0.734375,0.06806284592673635,0.96997,relu,12,0.0,10,10,8,50,sigmoid,sparse_categorical_crossentropy,adam
10,1.2089555896818638,0.78125,0.07942797331694844,0.9767267,relu,12,0.0,10,10,8,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.2158126328140497,0.796875,0.07221822689737294,0.9707207,relu,12,0.0,10,10,12,10,sigmoid,binary_crossentropy,adam
10,1.4122007712721825,0.796875,0.07576080682574192,0.9677177,relu,12,0.0,10,10,12,10,sigmoid,binary_crossentropy,RMSprop
10,1.6622001118957996,0.703125,0.0717507775687835,0.975976,relu,12,0.0,10,10,12,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.5128935649991035,0.734375,0.08825034989769831,0.9662162,relu,12,0.0,10,10,12,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.2764584384858608,0.75,0.07852082877054256,0.972973,relu,12,0.0,10,10,12,20,sigmoid,binary_crossentropy,adam
10,2.6598285734653473,0.578125,0.0698480587076234,0.9737237,relu,12,0.0,10,10,12,20,sigmoid,binary_crossentropy,RMSprop
10,1.6321402043104172,0.796875,0.0857882967208531,0.9557057,relu,12,0.0,10,10,12,20,sigmoid,sparse_categorical_crossentropy,adam
10,0.867528760805726,0.703125,0.07354923489981809,0.9737237,relu,12,0.0,10,10,12,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.0188639033585787,0.703125,0.06598110104410758,0.972973,relu,12,0.0,10,10,12,30,sigmoid,binary_crossentropy,adam
10,2.342127539217472,0.625,0.06968065490568447,0.9737237,relu,12,0.0,10,10,12,30,sigmoid,binary_crossentropy,RMSprop
10,1.287515603005886,0.828125,0.06439900388762874,0.9752252,relu,12,0.0,10,10,12,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.5139730386435986,0.796875,0.07729327161549926,0.9714715,relu,12,0.0,10,10,12,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.642930168658495,0.78125,0.05981258704822074,0.9797297,relu,12,0.0,10,10,12,40,sigmoid,binary_crossentropy,adam
10,1.0740401782095432,0.796875,0.07538266702940254,0.9774775,relu,12,0.0,10,10,12,40,sigmoid,binary_crossentropy,RMSprop
10,1.5673231552354991,0.78125,0.05769378635624627,0.978979,relu,12,0.0,10,10,12,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.6544058285653591,0.78125,0.07673954527074185,0.9722222,relu,12,0.0,10,10,12,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.2426198683679104,0.40625,0.06635767340478262,0.9744745,relu,12,0.0,10,10,12,50,sigmoid,binary_crossentropy,adam
10,0.9413962922990322,0.78125,0.08101157210329482,0.9684685,relu,12,0.0,10,10,12,50,sigmoid,binary_crossentropy,RMSprop
10,2.4823505245149136,0.734375,0.060491523142142234,0.972973,relu,12,0.0,10,10,12,50,sigmoid,sparse_categorical_crossentropy,adam
10,0.8328222259879112,0.78125,0.08375197175853843,0.9722222,relu,12,0.0,10,10,12,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.974889487028122,0.796875,0.06839283592296294,0.9722222,relu,12,0.0,10,10,16,10,sigmoid,binary_crossentropy,adam
10,1.2942389100790024,0.796875,0.07399332971964451,0.9752252,relu,12,0.0,10,10,16,10,sigmoid,binary_crossentropy,RMSprop
10,1.2946030050516129,0.59375,0.07838428978911005,0.9774775,relu,12,0.0,10,10,16,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.6732284128665924,0.796875,0.07806520691945905,0.9677177,relu,12,0.0,10,10,16,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.4682526029646397,0.8125,0.06805255944634261,0.9647147,relu,12,0.0,10,10,16,20,sigmoid,binary_crossentropy,adam
10,1.7051917407661676,0.75,0.06982151232851548,0.9744745,relu,12,0.0,10,10,16,20,sigmoid,binary_crossentropy,RMSprop
10,1.3837375193834305,0.703125,0.06860083509056969,0.9624625,relu,12,0.0,10,10,16,20,sigmoid,sparse_categorical_crossentropy,adam
10,0.9443332832306623,0.765625,0.07623662317574427,0.972973,relu,12,0.0,10,10,16,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.5167973339557648,0.78125,0.06282201719378865,0.9744745,relu,12,0.0,10,10,16,30,sigmoid,binary_crossentropy,adam
10,1.263374399393797,0.65625,0.07076349151893656,0.9752252,relu,12,0.0,10,10,16,30,sigmoid,binary_crossentropy,RMSprop
10,1.7608826495707035,0.796875,0.07233929848210595,0.9707207,relu,12,0.0,10,10,16,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.6388319339603186,0.796875,0.08020967459523907,0.96997,relu,12,0.0,10,10,16,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.371515054255724,0.28125,0.0873217938904516,0.9587087,relu,12,0.0,10,10,16,40,sigmoid,binary_crossentropy,adam
10,1.4462033621966839,0.78125,0.07902168888276638,0.9744745,relu,12,0.0,10,10,16,40,sigmoid,binary_crossentropy,RMSprop
10,1.7166773341596127,0.75,0.07981391098259759,0.9527027,relu,12,0.0,10,10,16,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.618423618376255,0.375,0.07663705718156248,0.9744745,relu,12,0.0,10,10,16,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.4686121344566345,0.796875,0.07050634202800915,0.9744745,relu,12,0.0,10,10,16,50,sigmoid,binary_crossentropy,adam
10,2.769819661974907,0.78125,0.06731096479289943,0.9767267,relu,12,0.0,10,10,16,50,sigmoid,binary_crossentropy,RMSprop
10,2.0888859033584595,0.265625,0.09149991600762807,0.9587087,relu,12,0.0,10,10,16,50,sigmoid,sparse_categorical_crossentropy,adam
10,1.375810214318335,0.765625,0.07506282228021044,0.9767267,relu,12,0.0,10,10,16,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.1274015381932259,0.5,0.07257905877656765,0.96997,relu,12,0.0,10,24,1,10,sigmoid,binary_crossentropy,adam
10,1.2781970649957657,0.4375,0.07818523830281117,0.9692192,relu,12,0.0,10,24,1,10,sigmoid,binary_crossentropy,RMSprop
10,1.1329399570822716,0.53125,0.07202782405766885,0.9714715,relu,12,0.0,10,24,1,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.0515573136508465,0.5,0.07580256411965164,0.9677177,relu,12,0.0,10,24,1,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.054541539400816,0.765625,0.06908667235014339,0.972973,relu,12,0.0,10,24,1,20,sigmoid,binary_crossentropy,adam
10,1.1594431959092617,0.75,0.07163105314903734,0.9722222,relu,12,0.0,10,24,1,20,sigmoid,binary_crossentropy,RMSprop
10,1.119880735874176,0.703125,0.06991537514893624,0.972973,relu,12,0.0,10,24,1,20,sigmoid,sparse_categorical_crossentropy,adam
10,1.2715151384472847,0.484375,0.07390801497705717,0.9692192,relu,12,0.0,10,24,1,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.124806147068739,0.5625,0.07043470093888138,0.9714715,relu,12,0.0,10,24,1,30,sigmoid,binary_crossentropy,adam
10,1.332655280828476,0.65625,0.07070665725513135,0.9714715,relu,12,0.0,10,24,1,30,sigmoid,binary_crossentropy,RMSprop
10,1.1067540980875492,0.703125,0.06797689504959192,0.9714715,relu,12,0.0,10,24,1,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.3024102412164211,0.6875,0.07296047327402341,0.9737237,relu,12,0.0,10,24,1,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.131592659279704,0.703125,0.07010851849629837,0.9722222,relu,12,0.0,10,24,1,40,sigmoid,binary_crossentropy,adam
10,1.2228254154324532,0.78125,0.06827657398251766,0.972973,relu,12,0.0,10,24,1,40,sigmoid,binary_crossentropy,RMSprop
10,1.2107343226671219,0.578125,0.0694329103398313,0.9692192,relu,12,0.0,10,24,1,40,sigmoid,sparse_categorical_crossentropy,adam
10,1.3189655914902687,0.765625,0.07436685894903315,0.9707207,relu,12,0.0,10,24,1,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.1459450535476208,0.78125,0.06704534336333037,0.9737237,relu,12,0.0,10,24,1,50,sigmoid,binary_crossentropy,adam
10,1.1592300087213516,0.78125,0.07045248138816892,0.972973,relu,12,0.0,10,24,1,50,sigmoid,binary_crossentropy,RMSprop
10,1.1220428980886936,0.78125,0.0661946919092254,0.9707207,relu,12,0.0,10,24,1,50,sigmoid,sparse_categorical_crossentropy,adam
10,1.0501843951642513,0.78125,0.06681627748106178,0.972973,relu,12,0.0,10,24,1,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.5998580157756805,0.734375,0.07040483638411388,0.96997,relu,12,0.0,10,24,4,10,sigmoid,binary_crossentropy,adam
10,1.176988624036312,0.78125,0.0756599258522394,0.972973,relu,12,0.0,10,24,4,10,sigmoid,binary_crossentropy,RMSprop
10,1.8969927541911602,0.34375,0.06587082954141446,0.9714715,relu,12,0.0,10,24,4,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.0338260885328054,0.78125,0.07523977604898129,0.9722222,relu,12,0.0,10,24,4,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.3417768143117428,0.78125,0.0561675322019214,0.9744745,relu,12,0.0,10,24,4,20,sigmoid,binary_crossentropy,adam
10,1.0514338500797749,0.8125,0.06453038186389692,0.975976,relu,12,0.0,10,24,4,20,sigmoid,binary_crossentropy,RMSprop
10,1.538024626672268,0.703125,0.06776641146148774,0.9737237,relu,12,0.0,10,24,4,20,sigmoid,sparse_categorical_crossentropy,adam
10,0.969317814335227,0.796875,0.07171258026904946,0.9707207,relu,12,0.0,10,24,4,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.247860450297594,0.796875,0.06124620799246341,0.9782282,relu,12,0.0,10,24,4,30,sigmoid,binary_crossentropy,adam
10,1.1753954757004976,0.78125,0.06492475549981333,0.9774775,relu,12,0.0,10,24,4,30,sigmoid,binary_crossentropy,RMSprop
10,1.8854267615824938,0.703125,0.061273819981776084,0.9744745,relu,12,0.0,10,24,4,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.8497370406985283,0.78125,0.0591210176182915,0.9797297,relu,12,0.0,10,24,4,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.9110577385872602,0.78125,0.059658105036260574,0.9744745,relu,12,0.0,10,24,4,40,sigmoid,binary_crossentropy,adam
10,1.2657243944704533,0.75,0.07047564051033266,0.975976,relu,12,0.0,10,24,4,40,sigmoid,binary_crossentropy,RMSprop
