shuffled_feature_mean_accuracy,unshuffled_feature_mean_accuracy
0.34375,0.6328125
0.4765625,
0.796875,
0.546875,
0.6171875,
0.5234375,
0.53125,
0.4765625,
0.5390625,
0.53125,
0.6796875,
0.5625,
