,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b01_reset.csv,0.9724,0.9540000000000001
b02_reset.csv,0.922,0.8960000000000001
b04_reset.csv,0.9914242424242424,0.8240000000000001
b06_reset.csv,1.0,1.0
b08_reset.csv,0.9099047619047618,0.6227999999999999
b09_reset.csv,0.7275,0.9730000000000001
b10_reset.csv,0.8315294117647059,0.8710000000000001
b14_reset.csv,0.674342857142857,0.18
completogpio.csv,0.8665490196078434,1.0
FSM.csv,0.8373333333333333,0.8448571428571429
MEMORY_INTERFACE.csv,0.9639733333333333,0.6139999999999999
spi_axi_master.csv,0.9180936936936938,0.6737142857142857
uart.csv,0.7027187500000001,0.6813617021276597
