,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b01_reset.csv,0.97,0.95
b02_reset.csv,0.94,0.92
b04_reset.csv,0.81,0.89
b06_reset.csv,1.00,1.00
b08_reset.csv,0.91,0.62
b09_reset.csv,0.79,0.95
b10_reset.csv,0.81,0.88
b14_reset.csv,0.68,0.21
completogpio.csv,0.88,0.98
FSM.csv,0.79,0.79
MEMORY_INTERFACE.csv,0.97,0.63
spi_axi_master.csv,0.98,0.50
uart.csv,0.72,0.75
,0.864089299337766,0.77
