,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
completogpio.csv,0.862823529411765,0.9992727272727272
FSM.csv,0.7333333333333332,0.5831428571428571
b06_reset.csv,0.99475,0.986
b01_reset.csv,0.9852000000000001,0.9753333333333332
b02_reset.csv,0.8925000000000001,0.8566666666666667
b04_reset.csv,0.9656969696969696,0.9179999999999999
b08_reset.csv,0.895238095238095,0.5703999999999999
b09_reset.csv,0.6009285714285716,0.999
MEMORY_INTERFACE.csv,0.9593333333333334,0.5642857142857143
spi_axi_master.csv,0.9651963963963963,0.5537142857142856
b10_reset.csv,0.7915294117647059,0.9245000000000001
b14_reset.csv,0.6042285714285713,0.358
uart.csv,0.5201875,0.34663829787234046
