,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b01_reset.csv,0.9551999999999999,0.9273333333333333
b02_reset.csv,0.9380000000000001,0.9206666666666667
b04_reset.csv,0.800090909090909,0.733
b06_reset.csv,0.9817500000000001,0.9713333333333333
b08_reset.csv,0.9096190476190475,0.6603999999999999
b09_reset.csv,0.7067142857142859,0.953
b10_reset.csv,0.7827058823529411,0.9305
b14_reset.csv,0.6000244897959184,0.9299999999999999
completogpio.csv,0.8802745098039217,0.682909090909091
FSM.csv,0.7767999999999999,0.8048571428571428
MEMORY_INTERFACE.csv,0.94056,0.36314285714285716
spi_axi_master.csv,0.8977837837837838,0.5528571428571429
uart.csv,0.5279375,0.4027234042553191
