,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
completogpio.csv,0.8537647058823529,0.7176363636363635
FSM.csv,0.6885333333333332,0.5037142857142857
b06_reset.csv,0.9957499999999999,0.9886666666666667
b01_reset.csv,0.9608000000000001,0.9346666666666665
b02_reset.csv,0.9215,0.8953333333333333
b04_reset.csv,0.7226363636363636,0.8420000000000002
b08_reset.csv,0.8366666666666667,0.5264
b09_reset.csv,0.5414285714285716,0.9279999999999999
MEMORY_INTERFACE.csv,0.9398666666666667,0.3557142857142857
spi_axi_master.csv,0.9411783783783783,0.4402857142857143
b10_reset.csv,0.7281176470588234,0.8145
b14_reset.csv,0.563395918367347,0.368
uart.csv,0.405875,0.1909787234042553
