euclidean_accuracy,euclidean_average,State_Register_accuracy,State_Register_average
0.963963963963964,0.9587567567567568,0.7142857142857143,0.7671428571428571
0.9945945945945946,,0.8571428571428571,
0.9837837837837838,,0.5714285714285714,
0.9891891891891892,,0.5714285714285714,
0.9477477477477477,,0.8571428571428571,
0.9837837837837838,,0.8571428571428571,
0.9117117117117117,,1.0,
0.9279279279279279,,1.0,
0.9855855855855856,,0.8571428571428571,
0.9369369369369369,,0.8571428571428571,
0.9873873873873874,,0.5714285714285714,
0.9891891891891892,,0.5714285714285714,
0.9585585585585585,,0.5714285714285714,
0.9207207207207208,,0.5714285714285714,
0.8666666666666667,,1.0,
0.9441441441441442,,0.5714285714285714,
0.918918918918919,,1.0,
0.9801801801801802,,0.8571428571428571,
0.8846846846846846,,1.0,
0.9837837837837838,,0.5714285714285714,
0.9873873873873874,,0.42857142857142855,
0.9783783783783784,,0.8571428571428571,
0.9837837837837838,,0.5714285714285714,
0.9477477477477477,,0.8571428571428571,
0.990990990990991,,0.42857142857142855,
0.9891891891891892,,0.42857142857142855,
0.990990990990991,,0.42857142857142855,
0.9891891891891892,,0.8571428571428571,
0.990990990990991,,0.7142857142857143,
0.9819819819819819,,0.5714285714285714,
0.9891891891891892,,0.42857142857142855,
0.9891891891891892,,0.8571428571428571,
0.9855855855855856,,1.0,
0.9927927927927928,,0.7142857142857143,
0.9873873873873874,,0.8571428571428571,
0.9891891891891892,,0.2857142857142857,
0.990990990990991,,0.42857142857142855,
0.9927927927927928,,0.7142857142857143,
0.9891891891891892,,0.42857142857142855,
0.9873873873873874,,0.5714285714285714,
0.9837837837837838,,0.5714285714285714,
0.990990990990991,,0.5714285714285714,
0.9261261261261261,,0.8571428571428571,
0.9387387387387387,,1.0,
0.8864864864864865,,1.0,
0.9837837837837838,,0.5714285714285714,
0.9855855855855856,,0.7142857142857143,
0.9891891891891892,,0.8571428571428571,
0.9261261261261261,,0.8571428571428571,
0.9297297297297298,,0.8571428571428571,
0.9225225225225225,,0.8571428571428571,
0.9315315315315316,,1.0,
0.9927927927927928,,0.7142857142857143,
0.9531531531531532,,0.5714285714285714,
0.9819819819819819,,1.0,
0.9837837837837838,,0.7142857142857143,
0.8,,1.0,
0.9873873873873874,,0.42857142857142855,
0.9855855855855856,,0.5714285714285714,
0.8756756756756757,,1.0,
0.9441441441441442,,0.8571428571428571,
0.990990990990991,,1.0,
0.9207207207207208,,1.0,
0.8900900900900901,,1.0,
0.9423423423423424,,0.8571428571428571,
0.9099099099099099,,1.0,
0.9207207207207208,,1.0,
0.9243243243243243,,0.8571428571428571,
0.9783783783783784,,0.8571428571428571,
0.9459459459459459,,1.0,
0.9891891891891892,,0.7142857142857143,
0.9873873873873874,,0.7142857142857143,
0.9891891891891892,,0.14285714285714285,
0.9927927927927928,,0.8571428571428571,
0.9927927927927928,,0.8571428571428571,
0.9531531531531532,,1.0,
0.8972972972972973,,1.0,
0.9603603603603603,,0.8571428571428571,
0.9837837837837838,,0.7142857142857143,
0.9891891891891892,,0.8571428571428571,
0.9945945945945946,,0.8571428571428571,
0.9333333333333333,,1.0,
0.9621621621621622,,0.8571428571428571,
0.9657657657657658,,0.8571428571428571,
0.9081081081081082,,1.0,
0.918918918918919,,0.8571428571428571,
0.9927927927927928,,0.7142857142857143,
0.9369369369369369,,0.7142857142857143,
0.9891891891891892,,0.5714285714285714,
0.9315315315315316,,1.0,
0.9891891891891892,,0.7142857142857143,
0.9207207207207208,,0.7142857142857143,
0.9783783783783784,,0.7142857142857143,
0.918918918918919,,1.0,
0.9819819819819819,,0.8571428571428571,
0.9405405405405406,,1.0,
0.9891891891891892,,0.5714285714285714,
0.9405405405405406,,0.7142857142857143,
0.9891891891891892,,0.2857142857142857,
0.8522522522522522,,1.0,
