,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b04_reset.csv,0.9842424242424241,0.557
b06_reset.csv,0.9964999999999999,0.9906666666666666
uart.csv,0.5570937499999999,0.45765957446808514
b02_reset.csv,0.9285,0.9046666666666667
b14_reset.csv,0.6138204081632652,0.246
b08_reset.csv,0.8392380952380952,0.33039999999999997
b10_reset.csv,0.7641176470588235,0.9295
MEMORY_INTERFACE.csv,0.9561066666666667,0.5297142857142857
FSM.csv,0.7185333333333335,0.5514285714285714
completogpio.csv,0.861686274509804,0.9987272727272727
b01_reset.csv,0.9788,0.9646666666666667
spi_axi_master.csv,0.9599495495495495,0.7314285714285715
b09_reset.csv,0.622714285714286,0.9810000000000001
