,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
completogpio.csv,0.8500392156862745,0.7127272727272727
FSM.csv,0.6965333333333332,0.5191428571428572
b06_reset.csv,0.99275,0.9806666666666665
b01_reset.csv,0.9728,0.9546666666666667
b02_reset.csv,0.9194999999999999,0.8933333333333333
b04_reset.csv,0.7200303030303029,0.852
b08_reset.csv,0.8273333333333334,0.4912000000000001
b09_reset.csv,0.5365000000000001,0.942
MEMORY_INTERFACE.csv,0.9412266666666668,0.3702857142857143
spi_axi_master.csv,0.9457765765765764,0.43828571428571433
b10_reset.csv,0.7358823529411764,0.8125
b14_reset.csv,0.5642285714285714,0.36000000000000004
uart.csv,0.40346875000000004,0.18770212765957445
