,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
completogpio.csv,0.8624313725490197,0.9983636363636362
FSM.csv,0.7122666666666666,0.5642857142857143
b06_reset.csv,0.9962500000000001,0.9899999999999999
b01_reset.csv,0.986,0.9766666666666666
b02_reset.csv,0.9105000000000001,0.8806666666666667
b04_reset.csv,0.9836060606060604,0.549
b08_reset.csv,0.8214285714285715,0.268
b09_reset.csv,0.6586428571428571,0.986
MEMORY_INTERFACE.csv,0.9564533333333335,0.5334285714285715
spi_axi_master.csv,0.9644432432432433,0.712
b10_reset.csv,0.7865882352941177,0.9484999999999999
b14_reset.csv,0.6102938775510204,0.258
uart.csv,0.5335000000000001,0.43178723404255315
