euclidean_accuracy,euclidean_average,State_Register_accuracy,State_Register_average
0.671875,0.52046875,0.5957446808510638,0.41106382978723405
0.53125,,0.3617021276595745,
0.515625,,0.3404255319148936,
0.640625,,0.6382978723404256,
0.578125,,0.5319148936170213,
0.328125,,0.0851063829787234,
0.46875,,0.40425531914893614,
0.65625,,0.5319148936170213,
0.484375,,0.3404255319148936,
0.6875,,0.574468085106383,
0.484375,,0.425531914893617,
0.34375,,0.10638297872340426,
0.609375,,0.574468085106383,
0.328125,,0.19148936170212766,
0.484375,,0.425531914893617,
0.453125,,0.2978723404255319,
0.421875,,0.2127659574468085,
0.765625,,0.6808510638297872,
0.65625,,0.6595744680851063,
0.28125,,0.02127659574468085,
0.3125,,0.06382978723404255,
0.640625,,0.6170212765957447,
0.484375,,0.44680851063829785,
0.375,,0.1702127659574468,
0.625,,0.48936170212765956,
0.34375,,0.14893617021276595,
0.625,,0.5957446808510638,
0.453125,,0.3404255319148936,
0.421875,,0.23404255319148937,
0.4375,,0.23404255319148937,
0.34375,,0.14893617021276595,
0.625,,0.6382978723404256,
0.4375,,0.3404255319148936,
0.59375,,0.48936170212765956,
0.5625,,0.5531914893617021,
0.40625,,0.19148936170212766,
0.671875,,0.6170212765957447,
0.359375,,0.19148936170212766,
0.390625,,0.1702127659574468,
0.515625,,0.3404255319148936,
0.34375,,0.10638297872340426,
0.4375,,0.23404255319148937,
0.5,,0.3191489361702128,
0.40625,,0.19148936170212766,
0.546875,,0.5319148936170213,
0.59375,,0.5531914893617021,
0.625,,0.6382978723404256,
0.53125,,0.3617021276595745,
0.75,,0.7659574468085106,
0.625,,0.6382978723404256,
0.6875,,0.574468085106383,
0.578125,,0.425531914893617,
0.34375,,0.14893617021276595,
0.484375,,0.44680851063829785,
0.609375,,0.5531914893617021,
0.359375,,0.1276595744680851,
0.296875,,0.10638297872340426,
0.515625,,0.3617021276595745,
0.671875,,0.6170212765957447,
0.40625,,0.3404255319148936,
0.59375,,0.46808510638297873,
0.484375,,0.44680851063829785,
0.28125,,0.02127659574468085,
0.625,,0.5319148936170213,
0.625,,0.6382978723404256,
0.53125,,0.44680851063829785,
0.59375,,0.44680851063829785,
0.671875,,0.7021276595744681,
0.46875,,0.3191489361702128,
0.640625,,0.6595744680851063,
0.734375,,0.7872340425531915,
0.71875,,0.7021276595744681,
0.578125,,0.574468085106383,
0.453125,,0.3617021276595745,
0.390625,,0.1702127659574468,
0.6875,,0.574468085106383,
0.5,,0.46808510638297873,
0.5,,0.3191489361702128,
0.453125,,0.3404255319148936,
0.734375,,0.723404255319149,
0.671875,,0.6170212765957447,
0.546875,,0.3829787234042553,
0.46875,,0.40425531914893614,
0.671875,,0.7021276595744681,
0.484375,,0.2978723404255319,
0.609375,,0.574468085106383,
0.375,,0.2127659574468085,
0.484375,,0.3404255319148936,
0.71875,,0.7659574468085106,
0.34375,,0.10638297872340426,
0.328125,,0.23404255319148937,
0.5,,0.3191489361702128,
0.5625,,0.40425531914893614,
0.5,,0.46808510638297873,
0.515625,,0.40425531914893614,
0.4375,,0.23404255319148937,
0.46875,,0.3829787234042553,
0.46875,,0.2765957446808511,
0.671875,,0.574468085106383,
0.625,,0.6382978723404256,
