,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b04_reset.csv,0.9668787878787878,0.933
b06_reset.csv,0.99375,0.9833333333333332
uart.csv,0.530875,0.36119148936170214
b02_reset.csv,0.9029999999999999,0.8706666666666667
b14_reset.csv,0.6087265306122449,0.336
b08_reset.csv,0.9026666666666667,0.5975999999999999
b10_reset.csv,0.7585882352941177,0.9099999999999999
MEMORY_INTERFACE.csv,0.9587733333333335,0.5585714285714285
FSM.csv,0.7328,0.5785714285714285
completogpio.csv,0.863058823529412,0.9987272727272727
b01_reset.csv,0.9784,0.9640000000000001
spi_axi_master.csv,0.9661009009009008,0.5462857142857143
b09_reset.csv,0.5810000000000002,0.9899999999999999
