mixed_accuracy,mixed_average,State_Register_accuracy,State_Register_average
0.546875,0.54984375,0.3829787234042553,0.3870212765957447
0.609375,,0.46808510638297873,
0.625,,0.48936170212765956,
0.609375,,0.46808510638297873,
0.53125,,0.3617021276595745,
0.578125,,0.425531914893617,
0.625,,0.48936170212765956,
0.390625,,0.1702127659574468,
0.640625,,0.5106382978723404,
0.671875,,0.5531914893617021,
0.609375,,0.46808510638297873,
0.71875,,0.6170212765957447,
0.453125,,0.2553191489361702,
0.609375,,0.46808510638297873,
0.671875,,0.5531914893617021,
0.546875,,0.3829787234042553,
0.671875,,0.5531914893617021,
0.609375,,0.46808510638297873,
0.546875,,0.3829787234042553,
0.640625,,0.5106382978723404,
0.484375,,0.2978723404255319,
0.5625,,0.40425531914893614,
0.53125,,0.3617021276595745,
0.5625,,0.40425531914893614,
0.734375,,0.6382978723404256,
0.609375,,0.46808510638297873,
0.59375,,0.44680851063829785,
0.40625,,0.19148936170212766,
0.546875,,0.3829787234042553,
0.453125,,0.2553191489361702,
0.59375,,0.44680851063829785,
0.625,,0.48936170212765956,
0.515625,,0.3404255319148936,
0.53125,,0.3617021276595745,
0.5625,,0.40425531914893614,
0.609375,,0.46808510638297873,
0.515625,,0.3404255319148936,
0.515625,,0.3404255319148936,
0.46875,,0.2765957446808511,
0.46875,,0.2765957446808511,
0.390625,,0.1702127659574468,
0.609375,,0.46808510638297873,
0.53125,,0.3617021276595745,
0.375,,0.14893617021276595,
0.53125,,0.3617021276595745,
0.5625,,0.40425531914893614,
0.578125,,0.425531914893617,
0.5,,0.3191489361702128,
0.609375,,0.46808510638297873,
0.6875,,0.574468085106383,
0.453125,,0.2553191489361702,
0.640625,,0.5106382978723404,
0.515625,,0.3404255319148936,
0.546875,,0.3829787234042553,
0.34375,,0.10638297872340426,
0.5625,,0.40425531914893614,
0.65625,,0.5319148936170213,
0.5625,,0.40425531914893614,
0.578125,,0.425531914893617,
0.578125,,0.425531914893617,
0.625,,0.48936170212765956,
0.328125,,0.0851063829787234,
0.375,,0.14893617021276595,
0.59375,,0.44680851063829785,
0.625,,0.48936170212765956,
0.59375,,0.44680851063829785,
0.5625,,0.40425531914893614,
0.484375,,0.2978723404255319,
0.375,,0.14893617021276595,
0.453125,,0.2553191489361702,
0.453125,,0.2553191489361702,
0.5,,0.3191489361702128,
0.359375,,0.1276595744680851,
0.40625,,0.19148936170212766,
0.734375,,0.6382978723404256,
0.515625,,0.3404255319148936,
0.4375,,0.23404255319148937,
0.5625,,0.40425531914893614,
0.5625,,0.40425531914893614,
0.546875,,0.3829787234042553,
0.40625,,0.19148936170212766,
0.6875,,0.574468085106383,
0.53125,,0.3617021276595745,
0.515625,,0.3404255319148936,
0.640625,,0.5106382978723404,
0.375,,0.14893617021276595,
0.53125,,0.3617021276595745,
0.59375,,0.44680851063829785,
0.59375,,0.44680851063829785,
0.75,,0.6595744680851063,
0.4375,,0.23404255319148937,
0.578125,,0.425531914893617,
0.640625,,0.5106382978723404,
0.625,,0.48936170212765956,
0.625,,0.48936170212765956,
0.359375,,0.1276595744680851,
0.5625,,0.40425531914893614,
0.734375,,0.6382978723404256,
0.484375,,0.2978723404255319,
0.609375,,0.46808510638297873,
