round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
24,0.1470759398046762,0.9592959,0.5802576567445482,0.71428573,relu,32,0.5,24,50,5,217,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.7380210322515406,0.78657866,0.5809066762729567,0.9346939,elu,32,0.5,1,35,15,147,sigmoid,binary_crossentropy,adam
10,0.44341365050430215,0.8888889,0.23657785939927004,0.9959184,relu,32,0.25,10,65,35,7,sigmoid,binary_crossentropy,adam
24,0.3273589856947216,0.87348735,0.5611887250627791,0.53061223,elu,32,0.5,24,20,15,217,sigmoid,binary_crossentropy,RMSprop
1,0.30706376050433964,0.87678766,0.3287590223915723,0.6163265,relu,32,0.0,1,65,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.3139607906956287,0.8877888,0.11539683329815767,0.9959184,relu,32,0.0,1,20,15,217,sigmoid,binary_crossentropy,RMSprop
10,0.13438234192998497,0.96369636,0.9201758555003575,0.5755102,relu,32,0.25,10,65,15,147,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.48816190483775995,0.8481848,0.2095669678279332,0.9959184,elu,10,0.5,5,20,15,77,sigmoid,binary_crossentropy,adam
1,0.6806997356503972,0.88008803,0.6885847033286582,0.68163264,relu,32,0.0,1,20,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.048290749782300885,0.98459846,0.9159172880406282,0.71428573,relu,32,0.0,10,35,5,77,sigmoid,binary_crossentropy,RMSprop
24,0.17290794419901337,0.9438944,0.5311589812745854,0.66530615,elu,32,0.25,24,20,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.32188977499884874,0.8360836,0.2883762574317504,0.66938776,elu,10,0.25,1,20,15,77,sigmoid,sparse_categorical_crossentropy,adam
1,0.4421470091402596,0.8129813,0.0942731329372951,0.9959184,elu,10,0.0,1,20,35,217,sigmoid,sparse_categorical_crossentropy,adam
24,0.24831793226539367,0.8888889,0.28915432034706584,0.9959184,elu,10,0.25,24,20,35,77,sigmoid,sparse_categorical_crossentropy,adam
1,0.18129489697142384,0.91859186,0.02779922968879038,0.9959184,relu,10,0.0,1,20,5,147,sigmoid,binary_crossentropy,RMSprop
1,0.39256139071729973,0.7678768,0.664042384040599,0.9959184,elu,32,0.25,1,35,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.31131132108567966,0.909791,0.882388423900215,0.54285717,elu,10,0.25,5,65,15,357,sigmoid,binary_crossentropy,RMSprop
5,0.055450928194090046,0.980198,0.8381610331790788,0.6530612,relu,10,0.0,5,50,5,147,sigmoid,sparse_categorical_crossentropy,adam
24,0.0503701926145728,0.9790979,0.8223000746600482,0.6897959,relu,10,0.25,24,35,5,427,sigmoid,binary_crossentropy,adam
24,0.40602052607924827,0.9372937,1.2506548141946598,0.0040816325,relu,10,0.5,24,65,35,357,sigmoid,binary_crossentropy,RMSprop
24,0.48103233953841307,0.8888889,0.014145977034849417,0.9959184,relu,10,0.0,24,20,15,427,sigmoid,sparse_categorical_crossentropy,adam
1,0.3668374412655175,0.8547855,0.2560123579234493,0.8816326,elu,32,0.5,1,20,5,427,sigmoid,binary_crossentropy,adam
10,0.18201050109858036,0.9328933,0.41786685963066256,0.5836735,relu,32,0.5,10,50,15,287,sigmoid,sparse_categorical_crossentropy,adam
24,0.06447703065504336,0.9757976,1.1007976437101559,0.82040817,elu,32,0.0,24,20,5,427,sigmoid,binary_crossentropy,RMSprop
1,0.6056001107356992,0.84928495,0.41180713298369426,0.9959184,relu,32,0.5,1,65,5,287,sigmoid,sparse_categorical_crossentropy,adam
24,0.6129318090752343,0.95049506,1.2260648863656176,0.8040816,relu,10,0.5,24,65,15,357,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.11618766381238291,0.9614962,0.5858843938428528,0.63673466,elu,32,0.0,5,35,35,7,sigmoid,binary_crossentropy,adam
1,0.9935682631613552,0.8822882,0.38638865582796994,0.9959184,relu,10,0.0,1,65,35,357,sigmoid,binary_crossentropy,RMSprop
1,0.40732337523324,0.85588557,0.10531997224506066,0.9959184,relu,32,0.0,1,65,15,287,sigmoid,sparse_categorical_crossentropy,adam
5,0.3541670229175303,0.8855886,0.21863165053786063,0.9959184,relu,32,0.5,5,20,5,77,sigmoid,binary_crossentropy,adam
5,0.09719901512564202,0.9691969,0.7633359809311069,0.59183675,relu,10,0.25,5,50,5,217,sigmoid,sparse_categorical_crossentropy,adam
5,0.22823807335810703,0.89768976,0.28890993826243344,0.60816324,elu,10,0.25,5,35,15,147,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.060228230324097395,0.9867987,0.8907545177304015,0.6122449,relu,32,0.0,24,50,15,7,sigmoid,binary_crossentropy,RMSprop
24,14.327196194656088,0.11111111,16.05230728460818,0.0040816325,relu,10,0.0,24,50,35,427,sigmoid,sparse_categorical_crossentropy,adam
5,0.5895123828624603,0.8888889,0.5331998922386948,0.9959184,relu,32,0.25,5,35,15,7,sigmoid,binary_crossentropy,RMSprop
5,0.24470179023357572,0.919692,0.3590161657455016,0.6122449,relu,10,0.25,5,20,15,147,sigmoid,binary_crossentropy,RMSprop
10,0.5796664801105545,0.8811881,0.5832132633851499,0.9959184,elu,32,0.5,10,35,35,147,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5015333137100213,0.8877888,0.25490969966868965,0.6857143,relu,10,0.25,1,50,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.3852547377724983,0.88668865,0.12462909838982991,0.9959184,elu,10,0.5,24,50,35,357,sigmoid,binary_crossentropy,adam
10,0.35038721758146885,0.8888889,0.12449503264256886,0.9959184,relu,10,0.0,10,65,35,7,sigmoid,binary_crossentropy,adam
24,0.17658543231209578,0.96039605,3.4738370982968076,0.64081633,relu,32,0.5,24,65,5,427,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.264345068775519,0.919692,0.8870561643522613,0.5795918,elu,32,0.5,24,65,15,357,sigmoid,binary_crossentropy,RMSprop
1,0.49238751612284004,0.86578655,0.14579524601600607,0.9959184,relu,32,0.5,1,65,5,357,sigmoid,sparse_categorical_crossentropy,adam
1,0.6942766984828366,0.74147415,0.6566735566878805,0.9959184,relu,32,0.5,1,65,5,7,sigmoid,sparse_categorical_crossentropy,adam
1,0.2994236478579975,0.85148513,0.2554814146489513,0.9918367,elu,32,0.0,1,50,35,147,sigmoid,binary_crossentropy,adam
1,0.2249691154893869,0.9031903,0.7468382210147624,0.63673466,elu,32,0.0,1,20,15,77,sigmoid,sparse_categorical_crossentropy,adam
10,0.12084542359128118,0.9592959,0.5718273571559361,0.7673469,elu,32,0.0,10,65,15,217,sigmoid,binary_crossentropy,adam
5,1.7908994855135802,0.8888889,0.0657882568787419,0.9959184,elu,10,0.25,5,50,35,427,sigmoid,sparse_categorical_crossentropy,adam
24,0.09888888085701547,0.9614962,0.4125965231535386,0.6938776,elu,32,0.25,24,20,5,147,sigmoid,binary_crossentropy,adam
1,1.0524090972833533,0.8261826,0.6903443141859404,0.46530613,elu,10,0.5,1,20,35,287,sigmoid,binary_crossentropy,RMSprop
10,0.22452350647026842,0.8855886,0.13685679002379886,0.9959184,elu,10,0.0,10,50,35,147,sigmoid,binary_crossentropy,RMSprop
24,0.3577481594153888,0.8877888,0.11525535382786575,0.9959184,relu,32,0.5,24,65,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.35199928154187365,0.8888889,0.1353829831493144,0.9959184,relu,10,0.0,24,35,35,287,sigmoid,binary_crossentropy,adam
5,14.327196173673153,0.11111111,16.05230728460818,0.0040816325,relu,10,0.0,5,65,15,427,sigmoid,sparse_categorical_crossentropy,adam
1,0.7450260586208768,0.79977995,0.502702953864117,0.9959184,elu,32,0.5,1,35,15,217,sigmoid,binary_crossentropy,RMSprop
5,0.5740900744568266,0.85588557,0.49290149783601567,0.9959184,elu,32,0.5,5,50,35,77,sigmoid,sparse_categorical_crossentropy,adam
10,1.7908995034802206,0.8888889,0.06578825590561169,0.9959184,relu,32,0.25,10,65,35,427,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.08124382793448703,0.9746975,0.510447524640025,0.74693877,elu,10,0.0,5,20,5,7,sigmoid,binary_crossentropy,adam
24,0.04777558746930684,0.9889989,0.9305600089078047,0.63673466,relu,32,0.0,24,20,5,287,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.22691427661378522,0.81408143,0.3537898833654365,0.49387756,elu,32,0.0,5,20,35,147,sigmoid,sparse_categorical_crossentropy,adam
24,0.6931471824645996,0.8888889,0.6931471824645996,0.9959184,elu,10,0.0,24,65,35,357,sigmoid,sparse_categorical_crossentropy,adam
1,0.6108999267400819,0.7150715,0.3831166509462863,0.9959184,elu,32,0.25,1,50,15,7,sigmoid,binary_crossentropy,RMSprop
1,0.9110551491281451,0.80418044,0.2672763558066621,0.9959184,elu,10,0.0,1,50,35,427,sigmoid,binary_crossentropy,adam
24,0.06882158495952981,0.9768977,2.6359460743106142,0.5755102,elu,32,0.0,24,35,5,357,sigmoid,binary_crossentropy,adam
1,0.800682268520393,0.5632563,0.6294694956468077,0.9959184,elu,32,0.5,1,20,35,7,sigmoid,sparse_categorical_crossentropy,adam
24,0.3845764070716497,0.889989,0.16632247877364256,0.9959184,relu,32,0.5,24,20,15,7,sigmoid,binary_crossentropy,RMSprop
10,0.3827802782798364,0.8888889,0.10526140371755678,0.9959184,elu,32,0.25,10,65,35,7,sigmoid,sparse_categorical_crossentropy,RMSprop
