,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b04_reset.csv,0.5635151515151515,0.375
b06_reset.csv,0.998,0.9946666666666667
uart.csv,0.44928125,0.25442553191489364
b02_reset.csv,0.9515,0.9353333333333333
b14_reset.csv,0.5734775510204082,0.466
b08_reset.csv,0.5902857142857142,0.5008
b10_reset.csv,0.7330588235294118,0.8795
MEMORY_INTERFACE.csv,0.9337866666666667,0.29057142857142854
FSM.csv,0.6393333333333333,0.3791428571428571
completogpio.csv,0.8380000000000001,0.4892727272727272
b01_reset.csv,0.9548,0.9246666666666666
spi_axi_master.csv,0.9767279279279277,0.33371428571428574
b09_reset.csv,0.5742857142857145,0.8389999999999999
