,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b01_reset.csv,0.9671999999999998,0.9453333333333334
b02_reset.csv,0.96,0.9466666666666667
b04_reset.csv,0.7978787878787876,0.907
b06_reset.csv,0.998,0.9973333333333333
b08_reset.csv,0.9025714285714285,0.5963999999999999
b09_reset.csv,0.7170000000000001,0.917
b10_reset.csv,0.788,0.8605
b14_reset.csv,0.668269387755102,0.20600000000000002
completogpio.csv,0.8896078431372552,0.9918181818181818
FSM.csv,0.8009333333333333,0.7594285714285713
MEMORY_INTERFACE.csv,0.9605866666666667,0.5777142857142857
spi_axi_master.csv,0.9726594594594596,0.5214285714285716
uart.csv,0.7220937500000001,0.744808510638298
