round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
1,0.5707598994470665,0.8690869,0.5399596168070423,0.9918367,relu,10,0.0,1,5,1,5,sigmoid,binary_crossentropy,adam
1,0.7123080848729518,0.4510451,0.6144200587759212,0.9918367,relu,10,0.0,1,5,1,5,sigmoid,binary_crossentropy,RMSprop
1,0.7720110201993005,0.3421342,0.9056699215149393,0.073469386,relu,10,0.0,1,5,1,5,sigmoid,sparse_categorical_crossentropy,adam
1,0.5541188954913577,0.7612761,0.5852628119137823,0.9632653,relu,10,0.0,1,5,1,5,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5260325800729926,0.85918593,0.23303560456451106,0.9959184,relu,10,0.0,1,5,1,31,sigmoid,binary_crossentropy,adam
1,0.4508279504293394,0.87018704,0.4549646024801293,0.9959184,relu,10,0.0,1,5,1,31,sigmoid,binary_crossentropy,RMSprop
1,0.5493001734921903,0.88448846,0.23584513609506647,0.9959184,relu,10,0.0,1,5,1,31,sigmoid,sparse_categorical_crossentropy,adam
1,0.5213111355753228,0.82068205,0.42488155559617646,0.9959184,relu,10,0.0,1,5,1,31,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.581234789786428,0.8613861,0.5080284634414984,0.9918367,relu,10,0.0,1,5,1,57,sigmoid,binary_crossentropy,adam
1,0.44864518437186224,0.88338834,0.38326110706037403,0.9959184,relu,10,0.0,1,5,1,57,sigmoid,binary_crossentropy,RMSprop
1,0.4779380472055232,0.88668865,0.3673312876905714,0.9959184,relu,10,0.0,1,5,1,57,sigmoid,sparse_categorical_crossentropy,adam
1,0.4734651381918306,0.8877888,0.25652429948047717,0.9918367,relu,10,0.0,1,5,1,57,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.4828382191812769,0.87018704,0.3379088865250957,0.9918367,relu,10,0.0,1,5,1,84,sigmoid,binary_crossentropy,adam
1,0.5105509080640291,0.8459846,0.2879383043975246,0.9959184,relu,10,0.0,1,5,1,84,sigmoid,binary_crossentropy,RMSprop
1,0.533097560420157,0.80748075,0.418132092879743,0.9959184,relu,10,0.0,1,5,1,84,sigmoid,sparse_categorical_crossentropy,adam
1,0.4711081095457864,0.86358637,0.30632862387871257,0.9959184,relu,10,0.0,1,5,1,84,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.48050190570658713,0.8580858,0.26302265162978855,0.98367345,relu,10,0.0,1,5,1,110,sigmoid,binary_crossentropy,adam
1,0.4440400314868742,0.8888889,0.29711566287644053,0.9959184,relu,10,0.0,1,5,1,110,sigmoid,binary_crossentropy,RMSprop
1,0.5299893774510217,0.83828384,0.15912122325021394,0.9959184,relu,10,0.0,1,5,1,110,sigmoid,sparse_categorical_crossentropy,adam
1,0.4185388242647593,0.8822882,0.26868746414476513,0.9959184,relu,10,0.0,1,5,1,110,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5452093596112216,0.8822882,0.3157224205075478,0.9959184,relu,10,0.0,1,5,1,136,sigmoid,binary_crossentropy,adam
1,0.3686010666085024,0.88008803,0.32293716863710054,0.9959184,relu,10,0.0,1,5,1,136,sigmoid,binary_crossentropy,RMSprop
1,0.41495560740742615,0.87238723,0.1584448323261981,0.9959184,relu,10,0.0,1,5,1,136,sigmoid,sparse_categorical_crossentropy,adam
1,0.4102336672207441,0.889989,0.3570111916989696,0.9959184,relu,10,0.0,1,5,1,136,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.3827610093407636,0.8888889,0.23329118502383328,0.9959184,relu,10,0.0,1,5,1,163,sigmoid,binary_crossentropy,adam
