round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.13147711280313878,0.9495413,0.8415998928248882,0.265625,relu,10,0.5,10,50,35,287,sigmoid,binary_crossentropy,adam
5,0.12017593301764624,0.9495413,1.0693077445030212,0.265625,relu,32,0.25,5,35,15,147,sigmoid,binary_crossentropy,adam
1,0.3517459602599297,0.8486239,1.4705112371593714,0.328125,elu,10,0.5,1,50,5,77,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.4142279297522529,0.9678899,0.5606557810679078,0.859375,relu,10,0.5,24,50,15,77,sigmoid,binary_crossentropy,RMSprop
10,0.08975276041844296,0.96146786,2.057016909122467,0.265625,relu,32,0.0,10,35,35,147,sigmoid,binary_crossentropy,adam
5,0.13765379198113406,0.94862384,1.2058338820934296,0.515625,elu,32,0.5,5,65,5,147,sigmoid,sparse_categorical_crossentropy,RMSprop
1,25.36030352550726,0.92752296,1.885354995727539,0.265625,relu,32,0.0,1,35,35,287,sigmoid,binary_crossentropy,RMSprop
24,0.8132984452291289,0.9495413,11.836726427078247,0.265625,relu,10,0.5,24,35,35,357,sigmoid,sparse_categorical_crossentropy,adam
1,0.3278916085395244,0.88073397,0.7718355059623718,0.359375,elu,32,0.0,1,65,5,7,sigmoid,binary_crossentropy,RMSprop
1,0.7905160188674912,0.9284404,11.836726188659668,0.265625,relu,32,0.0,1,35,15,427,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.1428398318709411,0.94862384,0.89527109824121,0.265625,relu,10,0.5,10,50,35,427,sigmoid,binary_crossentropy,adam
5,0.20562164740073025,0.9495413,2.0523836500942707,0.265625,relu,10,0.25,5,20,35,357,sigmoid,binary_crossentropy,adam
1,0.2653600567383873,0.9495413,1.5995149053633213,0.265625,relu,10,0.0,1,20,35,147,sigmoid,binary_crossentropy,RMSprop
5,0.5060643372917267,0.94495416,0.6362179834395647,0.734375,elu,10,0.5,5,35,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.3004464025621436,0.92752296,3.831659682095051,0.265625,elu,10,0.25,5,20,15,427,sigmoid,binary_crossentropy,RMSprop
1,0.25665017868031176,0.79082566,0.8249931633472443,0.828125,elu,32,0.25,1,65,5,427,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.0666793469647202,0.97431195,1.3165945410728455,0.765625,elu,32,0.0,10,65,15,77,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.39091750131834535,0.94495416,0.696880429983139,0.359375,elu,32,0.5,5,50,15,217,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.11392785809045537,0.9495413,1.349249243736267,0.265625,elu,32,0.5,24,20,5,287,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.8247447251983493,0.94220185,11.836726546287537,0.265625,elu,10,0.0,1,20,35,427,sigmoid,sparse_categorical_crossentropy,adam
5,0.3192306616984376,0.9495413,1.9495265483856201,0.265625,relu,32,0.25,5,20,35,7,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.27852363925461376,0.9412844,2.1986118778586388,0.265625,elu,10,0.5,5,65,35,7,sigmoid,binary_crossentropy,RMSprop
5,0.2563149156510283,0.9495413,1.1865832209587097,0.265625,relu,32,0.5,5,20,35,287,sigmoid,binary_crossentropy,adam
1,0.24669829269341373,0.94678897,0.7167808711528778,0.625,relu,32,0.25,1,20,5,217,sigmoid,binary_crossentropy,RMSprop
10,0.08844615766751321,0.96422017,2.413577660918236,0.3125,relu,10,0.5,10,50,5,287,sigmoid,binary_crossentropy,adam
5,0.10877097415366133,0.9495413,1.0341846346855164,0.265625,relu,32,0.25,5,20,15,217,sigmoid,binary_crossentropy,adam
10,5.131625517810393,0.94862384,0.9059458803385496,0.265625,relu,10,0.25,10,20,35,357,sigmoid,binary_crossentropy,RMSprop
24,0.12126222558284637,0.9495413,5.525602657347918,0.265625,relu,10,0.5,24,20,15,287,sigmoid,binary_crossentropy,adam
1,0.3019220174042457,0.9256881,3.0432649850845337,0.265625,relu,32,0.0,1,65,35,427,sigmoid,sparse_categorical_crossentropy,adam
24,0.22098285761243158,0.9495413,2.0268277414143085,0.265625,elu,10,0.5,24,35,35,427,sigmoid,binary_crossentropy,adam
5,0.25801275914003685,0.95137614,6.685650505125523,0.265625,relu,10,0.0,5,50,15,427,sigmoid,binary_crossentropy,adam
5,0.14293786696782848,0.9779816,1.4738716511055827,0.6875,relu,10,0.25,5,65,5,287,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.18360738458983394,0.9284404,0.7859288156032562,0.5,elu,32,0.0,1,50,15,147,sigmoid,binary_crossentropy,adam
5,0.8132996010124128,0.9495413,2.507766842842102,0.265625,relu,32,0.5,5,20,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.06889621463407754,0.97431195,1.6836373209953308,0.421875,relu,32,0.5,24,65,5,427,sigmoid,binary_crossentropy,adam
10,0.056401222792229574,0.9779816,2.289429059252143,0.5625,relu,10,0.25,10,50,5,357,sigmoid,sparse_categorical_crossentropy,adam
1,0.14311650992252398,0.9559633,1.5336267240345478,0.328125,relu,10,0.0,1,50,5,427,sigmoid,binary_crossentropy,RMSprop
5,0.0864664447982133,0.9733945,2.663037283346057,0.4375,elu,10,0.0,5,20,5,427,sigmoid,binary_crossentropy,RMSprop
