,5x100: Runs Accuracy,5x100 Runs: State Register Accuracy
b01_reset.csv,0.9700000000000001,0.95
b02_reset.csv,0.913,0.8840000000000001
b04_reset.csv,0.5745757575757577,0.36100000000000004
b06_reset.csv,0.99725,0.9926666666666666
b08_reset.csv,0.5676190476190476,0.45280000000000004
b09_reset.csv,0.6256428571428574,0.8600000000000001
b10_reset.csv,0.7323529411764705,0.8714999999999999
b14_reset.csv,0.5618367346938775,0.588
completogpio.csv,0.8394117647058824,0.48672727272727273
FSM.csv,0.6454666666666665,0.3957142857142857
MEMORY_INTERFACE.csv,0.9349866666666667,0.3034285714285714
spi_axi_master.csv,0.9789585585585584,0.316
uart.csv,0.438375,0.23987234042553193
