unmodified_accuracy,unmodified_average,State_Register_accuracy,State_Register_average
0.359375,0.4371875,0.1276595744680851,0.23872340425531913
0.46875,,0.2765957446808511,
0.546875,,0.3829787234042553,
0.546875,,0.3829787234042553,
0.359375,,0.1276595744680851,
0.34375,,0.10638297872340426,
0.4375,,0.23404255319148937,
0.390625,,0.1702127659574468,
0.421875,,0.2127659574468085,
0.46875,,0.425531914893617,
0.59375,,0.44680851063829785,
0.296875,,0.0425531914893617,
0.375,,0.14893617021276595,
0.296875,,0.0425531914893617,
0.640625,,0.5106382978723404,
0.40625,,0.19148936170212766,
0.328125,,0.0851063829787234,
0.546875,,0.3829787234042553,
0.34375,,0.10638297872340426,
0.390625,,0.1702127659574468,
0.46875,,0.2765957446808511,
0.546875,,0.40425531914893614,
0.5,,0.3191489361702128,
0.359375,,0.1276595744680851,
0.609375,,0.46808510638297873,
0.390625,,0.1702127659574468,
0.484375,,0.2978723404255319,
0.328125,,0.0851063829787234,
0.3125,,0.06382978723404255,
0.296875,,0.0425531914893617,
0.375,,0.14893617021276595,
0.484375,,0.2978723404255319,
0.375,,0.14893617021276595,
0.28125,,0.02127659574468085,
0.375,,0.14893617021276595,
0.734375,,0.6382978723404256,
0.359375,,0.1276595744680851,
0.296875,,0.0425531914893617,
0.4375,,0.23404255319148937,
0.3125,,0.06382978723404255,
0.625,,0.5319148936170213,
0.3125,,0.06382978723404255,
0.453125,,0.2553191489361702,
0.4375,,0.23404255319148937,
0.40625,,0.19148936170212766,
0.421875,,0.2127659574468085,
0.59375,,0.44680851063829785,
0.4375,,0.23404255319148937,
0.28125,,0.02127659574468085,
0.421875,,0.2127659574468085,
0.515625,,0.3404255319148936,
0.390625,,0.1702127659574468,
0.359375,,0.1276595744680851,
0.5,,0.3191489361702128,
0.453125,,0.2553191489361702,
0.578125,,0.44680851063829785,
0.71875,,0.6170212765957447,
0.578125,,0.425531914893617,
0.46875,,0.2765957446808511,
0.46875,,0.2765957446808511,
0.5,,0.3191489361702128,
0.46875,,0.425531914893617,
0.515625,,0.3404255319148936,
0.34375,,0.10638297872340426,
0.84375,,0.7872340425531915,
0.34375,,0.10638297872340426,
0.53125,,0.48936170212765956,
0.40625,,0.19148936170212766,
0.421875,,0.2127659574468085,
0.640625,,0.5106382978723404,
0.453125,,0.2553191489361702,
0.484375,,0.2978723404255319,
0.46875,,0.2765957446808511,
0.359375,,0.1276595744680851,
0.375,,0.14893617021276595,
0.296875,,0.0425531914893617,
0.625,,0.48936170212765956,
0.453125,,0.2553191489361702,
0.34375,,0.10638297872340426,
0.40625,,0.19148936170212766,
0.296875,,0.0425531914893617,
0.40625,,0.19148936170212766,
0.34375,,0.10638297872340426,
0.4375,,0.23404255319148937,
0.34375,,0.10638297872340426,
0.390625,,0.1702127659574468,
0.3125,,0.06382978723404255,
0.296875,,0.0425531914893617,
0.625,,0.48936170212765956,
0.375,,0.14893617021276595,
0.375,,0.14893617021276595,
0.671875,,0.5531914893617021,
0.375,,0.14893617021276595,
0.421875,,0.2127659574468085,
0.40625,,0.19148936170212766,
0.328125,,0.0851063829787234,
0.28125,,0.02127659574468085,
0.515625,,0.3404255319148936,
0.46875,,0.2765957446808511,
0.453125,,0.2553191489361702,
